27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27474;# speaker = Суф;;;;;;;;;;;;;;;;
27475;# sent = 2007;;;;;;;;;;;;;;;;
27949;;уходили;УХОДИТЬ;V ipf praet pl indic - -;;;, танцевали , _уходили_ , вот .;и;л;и;д;о;х;V;УХОДИТЬ;V ipf praet pl indic - -;Ь
27950;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27951;;вот;ВОТ;PART;;;, уходили , _вот_ .  ;т;о;в;;;;PART;ВОТ;PART;Т
27952;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27953;;;;;;;;;;;;;;;;;
27954;# sent = 2041;;;;;;;;;;;;;;;;
27955;# speaker = Суф;;;;;;;;;;;;;;;;
27956;# sent = 2042;;;;;;;;;;;;;;;;
27957;;Аргентинцы;АРГЕНТИНЕЦ;S m inan nom sg;;;   _Аргентинцы_ были потрясающи .;ы;ц;н;и;т;н;S;АРГЕНТИНЕЦ;S m inan nom sg;Ц
27958;;были;БЫТЬ;V ipf praet pl indic - -;;;  Аргентинцы _были_ потрясающи . ;и;л;ы;б;;;V;БЫТЬ;V ipf praet pl indic - -;Ь
27959;;потрясающи;ПОТРЯСАЮЩИЙ;A -ins pl brev - -;;; Аргентинцы были _потрясающи_ .  ;и;щ;ю;а;с;я;A;ПОТРЯСАЮЩИЙ;A comp2 - - plen - -;Й
27960;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27961;;;;;;;;;;;;;;;;;
27962;# sent = 2043;;;;;;;;;;;;;;;;
27963;;Причем;ПРИЧЕМ;CONJ;;;.   _Причем_ у них был;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
27964;;у;У;PR;;;  Причем _у_ них был идеальный;у;;;;;;PR;У;PR;У
27965;;них;ОНИ;SPRO pl - - loc;;; Причем у _них_ был идеальный ход;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc;И
27966;;был;БЫТЬ;V ipf praet sg indic m -;;;Причем у них _был_ идеальный ход .;л;ы;б;;;;V;БЫТЬ;V ipf praet sg indic m -;Ь
27967;;идеальный;ИДЕАЛЬНЫЙ;A - nom sg plen m -;;;у них был _идеальный_ ход . ;й;ы;н;ь;л;а;A;ИДЕАЛЬНЫЙ;A - nom sg plen m -;Й
27968;;ход;ХОД;S m inan nom sg;;;них был идеальный _ход_ .  ;д;о;х;;;;S;ХОД;S m inan nom sg;Д
27969;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27970;;;;;;;;;;;;;;;;;
27971;# sent = 2044;;;;;;;;;;;;;;;;
27972;;Вышли;ВЫЙТИ;V pf praet pl indic - -;;;.   _Вышли_ бабы , они;и;л;ш;ы;в;;V;ВЫЙТИ;V pf praet pl indic - -;И
27973;;бабы;БАБА;S f anim nom pl;;;  Вышли _бабы_ , они ;ы;б;а;б;;;S;БАБА;S f anim nom pl;А
27974;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27975;;они;ОНИ;SPRO pl - - nom;;;Вышли бабы , _они_  прям ;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
27976;"<distinct form=""";;;;;;;;;;;;;;;;
27977;<dist>;прям;;;;;;;;;;;;;;;
27978;""">";;;;;;;;;;;;;;;;
27979;;прямо;ПРЯМО;PART;;; прям  _прямо_  … ;о;м;я;р;п;;ADV;ПРЯМО;ADV -;О
27980;</distinct>;;;;;;;;;;;;;;;;
27981;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27982;;;;;;;;;;;;;;;;;
27983;# sent = 2045;;;;;;;;;;;;;;;;
27984;;Лепота;ЛЕПОТА;S f inan nom sg;;;…   _Лепота_ .  ;а;т;о;п;е;л;S;ЛЕПОТА;S f inan nom sg;А
27985;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27986;;;;;;;;;;;;;;;;;
27987;# sent = 2046;;;;;;;;;;;;;;;;
27988;"<distinct form=""";;;;;;;;;;;;;;;;
27989;<dist>;Прям;;;;;;;;;;;;;;;
27990;""">";;;;;;;;;;;;;;;;
27991;;Прямо;ПРЯМО;PART;;; Прям  _Прямо_  вышли все;о;м;я;р;п;;ADV;ПРЯМО;ADV -;О
27992;</distinct>;;;;;;;;;;;;;;;;
27993;;вышли;ВЫЙТИ;V pf praet pl indic - -;;; Прямо  _вышли_ все такие ;и;л;ш;ы;в;;V;ВЫСЛАТЬ;V pf - sg imper - 2p;И
27994;;все;ВЕСЬ;APRO - nom pl plen - -;;;Прямо  вышли _все_ такие  цокает;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
27995;;такие;ТАКОЙ;APRO - nom pl plen - -;;; вышли все _такие_  цокает ;е;и;к;а;т;;APRO;ТАКОЙ;A - nom pl plen - -;Й
27996;"<span class=""note"">";;;;;;;;;;;;;;;;
27997;<note>;цокает;;;;;;;;;;;;;;;
27998;</span>;;;;;;;;;;;;;;;;
27999;;хороводами;ХОРОВОД;S m inan ins pl;;; цокает  _хороводами_ , там ,;и;м;а;д;о;в;S;ХОРОВОД;S m inan ins pl;Д
28000;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28001;;там;ТАМ;PART;;; хороводами , _там_ , грудь вперёд;м;а;т;;;;ADV;ТАМ;ADV -;М
28002;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28003;;грудь;ГРУДЬ;S f inan nom sg;;;, там , _грудь_ вперёд , все;ь;д;у;р;г;;S;ГРУДЬ;S f inan nom sg;Ь
28004;;вперёд;ВПЕРЕД;ADV -;;;там , грудь _вперёд_ , все дела;д;ё;р;е;п;в;ADV;ВПЕРЕД;ADV -;Д
28005;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28006;;все;ВЕСЬ;APRO - nom pl plen - -;;;грудь вперёд , _все_ дела , ушли;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
28007;;дела;ДЕЛО;S n inan nom pl;;;вперёд , все _дела_ , ушли назад;а;л;е;д;;;S;ДЕЛО;S n inan nom pl;О
28008;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28009;;ушли;УЙТИ;V pf praet pl indic - -;;;все дела , _ушли_ назад . ;и;л;ш;у;;;V;УСЛАТЬ;V pf - sg imper - 2p;И
28010;;назад;НАЗАД;ADV -;;;дела , ушли _назад_ .  ;д;а;з;а;н;;ADV;НАЗАД;ADV -;Д
28011;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28012;;;;;;;;;;;;;;;;;
28013;# sent = 2047;;;;;;;;;;;;;;;;
28014;;Тут;ТУТ;ADV -;;;.   _Тут_ вышли мужики и;т;у;т;;;;ADV;ТУТ;ADV -;Т
28015;;вышли;ВЫЙТИ;V pf praet pl indic - -;;;  Тут _вышли_ мужики и начали;и;л;ш;ы;в;;V;ВЫСЛАТЬ;V pf - sg imper - 2p;И
28016;;мужики;МУЖИК;S m anim nom pl;;; Тут вышли _мужики_ и начали танцевать;и;к;и;ж;у;м;S;МУЖИК;S m anim nom pl;К
28017;;и;И;CONJ;;;Тут вышли мужики _и_ начали танцевать ,;и;;;;;;CONJ;И;CONJ;И
28018;;начали;НАЧАТЬ;V pf praet pl indic - -;;;вышли мужики и _начали_ танцевать , каждый;и;л;а;ч;а;н;V;НАЧАТЬ;V pf praet pl indic - -;Ь
28019;;танцевать;ТАНЦЕВАТЬ;V ipf - - inf - -;;;мужики и начали _танцевать_ , каждый по;ь;т;а;в;е;ц;V;ТАНЦЕВАТЬ;V ipf - - inf - -;Ь
28020;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28021;;каждый;КАЖДЫЙ;APRO - nom sg plen m -;;;начали танцевать , _каждый_ по отдельности ,;й;ы;д;ж;а;к;APRO;КАЖДЫЙ;A - nom sg plen m -;Й
28022;;по;ПО;PR;;;танцевать , каждый _по_ отдельности , причем;о;п;;;;;PR;ПО;PR;О
28023;;отдельности;ОТДЕЛЬНОСТЬ;S f inan loc sg;;;, каждый по _отдельности_ , причем они;и;т;с;о;н;ь;S;ОТДЕЛЬНОСТЬ;S f inan loc sg;Ь
28024;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28025;;причем;ПРИЧЕМ;CONJ;;;по отдельности , _причем_ они  у;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
28026;;они;ОНИ;SPRO pl - - nom;;;отдельности , причем _они_  у них;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28027;<noindex>[нрзб]</noindex>;;;;;;;;;;;;;;;;
28028;;у;У;PR;;;причем они  _у_ них эти искры;у;;;;;;PR;У;PR;У
28029;;них;ОНИ;SPRO pl - - loc;;;они  у _них_ эти искры летят;х;и;н;;;;SPRO;ОНИ;SPRO pl - - loc;И
28030;;эти;ЭТОТ;APRO - nom pl plen - -;;; у них _эти_ искры летят ,;и;т;э;;;;APRO;ЭТОТ;A - nom pl plen - -;Т
28031;;искры;ИСКРА;S f inan nom pl;;;у них эти _искры_ летят , они;ы;р;к;с;и;;S;ИСКРА;S f inan nom pl;А
28032;;летят;ЛЕТЕТЬ;V ipf praes pl indic - 3p;;;них эти искры _летят_ , они ;т;я;т;е;л;;V;ЛЕТЕТЬ;V ipf praes pl indic - 3p;Ь
28033;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28034;;они;ОНИ;SPRO pl - - nom;;;искры летят , _они_  прям ;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28035;"<distinct form=""";;;;;;;;;;;;;;;;
28036;<dist>;прям;;;;;;;;;;;;;;;
28037;""">";;;;;;;;;;;;;;;;
28038;;прямо;ПРЯМО;PART;;; прям  _прямо_  танцуют ;о;м;я;р;п;;ADV;ПРЯМО;ADV -;О
28039;</distinct>;;;;;;;;;;;;;;;;
28040;;танцуют;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;;; прямо  _танцуют_  какт ;т;ю;у;ц;н;а;V;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;Ь
28041;"<distinct form=""";;;;;;;;;;;;;;;;
28042;<dist>;какт;;;;;;;;;;;;;;;
28043;""">";;;;;;;;;;;;;;;;
28044;;как будто;как будто;CONJ;;; какт  _как будто_  в последний;о;т;д;у;б; ;CONJ;как будто;CONJ;о
28045;</distinct>;;;;;;;;;;;;;;;;
28046;;в;В;PR;;; как будто  _в_ последний раз .;в;;;;;;PR;В;PR;В
28047;;последний;ПОСЛЕДНИЙ;A - acc sg plen m inan;;;как будто  в _последний_ раз . ;й;и;н;д;е;л;A;ПОСЛЕДНИЙ;A - acc sg plen m inan;Й
28048;;раз;РАЗ;S m inan acc sg;;; в последний _раз_ .  ;з;а;р;;;;S;РАЗ;S m inan acc sg;З
28049;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28050;;;;;;;;;;;;;;;;;
28051;# sent = 2048;;;;;;;;;;;;;;;;
28052;;Это;ЭТО;SPRO n - nom sg;;;.   _Это_ было так потрясающе;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28053;;было;БЫТЬ;V ipf praet sg indic n -;;;  Это _было_ так потрясающе …;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
28054;;так;ТАК;ADV -;;; Это было _так_ потрясающе … ;к;а;т;;;;ADV;ТАК;ADV -;К
28055;;потрясающе;ПОТРЯСАЮЩЕ;ADV -;;;Это было так _потрясающе_ …  ;е;щ;ю;а;с;я;ADV;ПОТРЯСАЮЩЕ;ADV -;Е
28056;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28057;;;;;;;;;;;;;;;;;
28058;# sent = 2049;;;;;;;;;;;;;;;;
28059;;Это;ЭТО;SPRO n - nom sg;;;…   _Это_ вот … ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28060;;вот;ВОТ;PART;;;  Это _вот_ …  ;т;о;в;;;;PART;ВОТ;PART;Т
28061;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28062;;;;;;;;;;;;;;;;;
28063;# sent = 2050;;;;;;;;;;;;;;;;
28064;;Это;ЭТО;SPRO n - nom sg;;;…   _Это_ непередаваемо . ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28065;;непередаваемо;НЕПЕРЕДАВАЕМЫЙ;A - - sg brev n -;;;  Это _непередаваемо_ .  ;о;м;е;а;в;а;A;НЕПЕРЕДАВАЕМЫЙ;A - - sg brev n -;Й
28066;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28067;;;;;;;;;;;;;;;;;
28068;# sent = 2051;;;;;;;;;;;;;;;;
28069;;Они;ОНИ;SPRO pl - - nom;;;.   _Они_  прям ;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28070;"<distinct form=""";;;;;;;;;;;;;;;;
28071;<dist>;прям;;;;;;;;;;;;;;;
28072;""">";;;;;;;;;;;;;;;;
28073;;прямо;ПРЯМО;PART;;; прям  _прямо_  танцевали ,;о;м;я;р;п;;ADV;ПРЯМО;ADV -;О
28074;</distinct>;;;;;;;;;;;;;;;;
28075;;танцевали;ТАНЦЕВАТЬ;V ipf praet pl indic - -;;; прямо  _танцевали_ , искры ,;и;л;а;в;е;ц;V;ТАНЦЕВАТЬ;V ipf praet pl indic - -;Ь
28076;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28077;;искры;ИСКРА;S f inan nom pl;;; танцевали , _искры_ , вау .;ы;р;к;с;и;;S;ИСКРА;S f inan nom pl;А
28078;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28079;;вау;ВАУ;INTJ;;;, искры , _вау_ .  ;у;а;в;;;;S;ВАУ;S m inan gen sg;У
28080;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28081;;;;;;;;;;;;;;;;;
28082;# sent = 2052;;;;;;;;;;;;;;;;
28083;;Ну;НУ;PART;;;.   _Ну_ дальше все проходили;у;н;;;;;PART;НУ;PART;У
28084;;дальше;ДАЛЕКО;ADV -;;;  Ну _дальше_ все проходили ,;е;ш;ь;л;а;д;ADV;ДАЛЕКО;ADV comp;О
28085;;все;ВСЕ;S - - nom pl;;; Ну дальше _все_ проходили , танцуют;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
28086;;проходили;ПРОХОДИТЬ;V ipf praet pl indic - -;;;Ну дальше все _проходили_ , танцуют и;и;л;и;д;о;х;V;ПРОХОДИТЬ;V ipf praet pl indic - -;Ь
28087;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28088;;танцуют;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;;;все проходили , _танцуют_ и что-то не то;т;ю;у;ц;н;а;V;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;Ь
28089;;и;И;CONJ;;;проходили , танцуют _и_ что-то не то .;и;;;;;;CONJ;И;CONJ;И
28090;;что-то;ЧТО-ТО;SPRO n inan nom sg;;;, танцуют и _что-то_ не то . ;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - nom sg;О
28091;;не то;не то;CONJ;;;танцуют и что-то _не то_ .  ;о;т; ;е;н;;CONJ;не то;CONJ;о
28092;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28093;;;;;;;;;;;;;;;;;
28094;# sent = 2053;;;;;;;;;;;;;;;;
28095;;Ну;НУ;PART;;;.   _Ну_ как бы есть видос;у;н;;;;;PART;НУ;PART;У
28096;;как бы;как бы;PART;;;  Ну _как бы_ есть видос ,;ы;б; ;к;а;к;PART;как бы;ADV -;ы
28097;;есть;БЫТЬ;V ipf praes sg indic - 3p;;; Ну как бы _есть_ видос , могу;ь;т;с;е;;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
28098;;видос;ВИДОС;S m inan nom sg;;;Ну как бы есть _видос_ , могу дать;с;о;д;и;в;;S;ВИДОС;S f inan nonflex -;С
28099;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28100;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;есть видос , _могу_ дать , если;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
28101;;дать;ДАТЬ;V pf - - inf - -;;;видос , могу _дать_ , если будет;ь;т;а;д;;;V;ДАТЬ;V pf - - inf - -;Ь
28102;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28103;;если;ЕСЛИ;CONJ;;;могу дать , _если_ будет интересно ,;и;л;с;е;;;CONJ;ЕСЛИ;CONJ;И
28104;;будет;БЫТЬ;V ipf praes sg indic - 3p;;;дать , если _будет_ интересно , я;т;е;д;у;б;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
28105;;интересно;ИНТЕРЕСНО;ADV -;;;, если будет _интересно_ , я тебе;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -;О
28106;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28107;;я;Я;SPRO sg 1p - nom;;;будет интересно , _я_ тебе могу выслать;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28108;;тебе;ТЫ;SPRO sg 2p - dat;;;интересно , я _тебе_ могу выслать .;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - dat;Ы
28109;;могу;МОЧЬ;V ipf praes sg indic - 1p;;;, я тебе _могу_ выслать . ;у;г;о;м;;;V;МОЧЬ;V ipf praes sg indic - 1p;Ь
28110;;выслать;ВЫСЛАТЬ;V pf - - inf - -;;;я тебе могу _выслать_ .  ;ь;т;а;л;с;ы;V;ВЫСЛАТЬ;V pf - - inf - -;Ь
28111;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28112;;;;;;;;;;;;;;;;;
28113;# sent = 2054;;;;;;;;;;;;;;;;
28114;# speaker = Суф;;;;;;;;;;;;;;;;
28115;# sent = 2055;;;;;;;;;;;;;;;;
28116;;И;И;CONJ;;;   _И_ тут выходит …;и;;;;;;CONJ;И;CONJ;И
28117;;тут;ТУТ;ADVPRO;;;  И _тут_ выходит … ;т;у;т;;;;ADV;ТУТ;ADV -;Т
28118;;выходит;ВЫХОДИТЬ;V ipf praes sg indic - 3p;;; И тут _выходит_ …  ;т;и;д;о;х;ы;V;ВЫХОДИТЬ;V ipf praes sg indic - 3p;Ь
28119;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28120;;;;;;;;;;;;;;;;;
28121;# sent = 2056;;;;;;;;;;;;;;;;
28122;"<distinct form=""";;;;;;;;;;;;;;;;
28123;<dist>;Руссия;;;;;;;;;;;;;;;
28124;""">";;;;;;;;;;;;;;;;
28125;;Россия;РОССИЯ;S f inan nom sg;;; Руссия  _Россия_  . ;я;и;с;с;о;р;S;РОССИЯ;S f inan nom sg;Я
28126;</distinct>;;;;;;;;;;;;;;;;
28127;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28128;;;;;;;;;;;;;;;;;
28129;# sent = 2057;;;;;;;;;;;;;;;;
28130;;А;А;CONJ;;;.   _А_ это ж Сербия;а;;;;;;CONJ;А;CONJ;А
28131;;это;ЭТО;SPRO n - nom sg;;;  А _это_ ж Сербия ,;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28132;;ж;Ж;PART;;; А это _ж_ Сербия , поэтому;ж;;;;;;PART;Ж;PART;Ж
28133;;Сербия;СЕРБИЯ;S f inan nom sg;;;А это ж _Сербия_ , поэтому там;я;и;б;р;е;с;S;СЕРБИЯ;S f inan nom sg;Я
28134;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28135;;поэтому;ПОЭТОМУ;ADV -;;;ж Сербия , _поэтому_ там … ;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -;У
28136;;там;ТАМ;ADVPRO;;;Сербия , поэтому _там_ …  ;м;а;т;;;;ADV;ТАМ;ADV -;М
28137;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28138;;;;;;;;;;;;;;;;;
28139;# sent = 2058;;;;;;;;;;;;;;;;
28140;;Ну;НУ;PART;;;…   _Ну_ , я думаю;у;н;;;;;PART;НУ;PART;У
28141;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28142;;я;Я;SPRO sg 1p - nom;;; Ну , _я_ думаю ты знаешь;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
28143;;думаю;ДУМАТЬ;V ipf praes sg indic - 1p;;;Ну , я _думаю_ ты знаешь ,;ю;а;м;у;д;;V;ДУМАТЬ;V ipf praes sg indic - 1p;Ь
28144;;ты;ТЫ;SPRO sg 2p - nom;;;, я думаю _ты_ знаешь , почему;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
28145;;знаешь;ЗНАТЬ;V ipf praes sg indic - 2p;;;я думаю ты _знаешь_ , почему они;ь;ш;е;а;н;з;V;ЗНАТЬ;V ipf praes sg indic - 2p;Ь
28146;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28147;;почему;ПОЧЕМУ;ADV -;;;ты знаешь , _почему_ они любят ,;у;м;е;ч;о;п;ADV;ПОЧЕМУ;ADV -;У
28148;;они;ОНИ;SPRO pl - - nom;;;знаешь , почему _они_ любят , это;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28149;;любят;ЛЮБИТЬ;V ipf praes pl indic - 3p;;;, почему они _любят_ , это НАТО;т;я;б;ю;л;;V;ЛЮБИТЬ;V ipf praes pl indic - 3p;Ь
28150;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28151;;это;ЭТО;SPRO n - nom sg;;;они любят , _это_ НАТО , девяносто;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
28152;;НАТО;НАТО;S n inan nom sg;;;любят , это _НАТО_ , девяносто девятый;о;т;а;н;;;S;НАТО;S n inan nonflex -;О
28153;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28154;;девяносто;ДЕВЯНОСТО;NUM acc - -;;;это НАТО , _девяносто_ девятый , этот;о;т;с;о;н;я;NUM;ДЕВЯНОСТО;NUM acc - -;О
28155;;девятый;ДЕВЯТЫЙ;ANUM - nom sg plen m -;;;НАТО , девяносто _девятый_ , этот разворот;й;ы;т;я;в;е;ANUM;ДЕВЯТЫЙ;A - nom sg plen m -;Й
28156;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28157;;этот;ЭТОТ;APRO - nom sg plen m -;;;девяносто девятый , _этот_ разворот … ;т;о;т;э;;;APRO;ЭТОТ;A - nom sg plen m -;Т
28158;;разворот;РАЗВОРОТ;S m inan nom sg;;;девятый , этот _разворот_ …  ;т;о;р;о;в;з;S;РАЗВОРОТ;S m inan nom sg;Т
28159;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
28160;;;;;;;;;;;;;;;;;
28161;# sent = 2059;;;;;;;;;;;;;;;;
28162;;Ну;НУ;PART;;;…   _Ну_ , вся эта;у;н;;;;;PART;НУ;PART;У
28163;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28164;;вся;ВЕСЬ;APRO - nom sg plen f -;;; Ну , _вся_ эта история ,;я;с;в;;;;APRO;ВЕСЬ;A - nom sg plen f -;Ь
28165;;эта;ЭТОТ;APRO - nom sg plen f -;;;Ну , вся _эта_ история , то;а;т;э;;;;APRO;ЭТОТ;A - nom sg plen f -;Т
28166;;история;ИСТОРИЯ;S f inan nom sg;;;, вся эта _история_ , то что;я;и;р;о;т;с;S;ИСТОРИЯ;S f inan nom sg;Я
28167;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28168;;то;ТО;CONJ;;;эта история , _то_ что помогли .;о;т;;;;;CONJ;ТО;CONJ;О
28169;;что;ЧТО;CONJ;;;история , то _что_ помогли . ;о;т;ч;;;;CONJ;ЧТО;CONJ;О
28170;;помогли;ПОМОЧЬ;V pf praet pl indic - -;;;, то что _помогли_ .  ;и;л;г;о;м;о;V;ПОМОЧЬ;V pf praet pl indic - -;Ь
28171;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28172;;;;;;;;;;;;;;;;;
28173;# sent = 2060;;;;;;;;;;;;;;;;
28174;;И;И;CONJ;;;.   _И_ поэтому там толпа;и;;;;;;CONJ;И;CONJ;И
28175;;поэтому;ПОЭТОМУ;ADV -;;;  И _поэтому_ там толпа увеличивается;у;м;о;т;э;о;ADV;ПОЭТОМУ;ADV -;У
28176;;там;ТАМ;ADVPRO;;; И поэтому _там_ толпа увеличивается раза;м;а;т;;;;PART;ТАМ;PART;М
28177;;толпа;ТОЛПА;S f inan nom sg;;;И поэтому там _толпа_ увеличивается раза в;а;п;л;о;т;;S;ТОЛПА;S f inan nom sg;А
28178;;увеличивается;УВЕЛИЧИВАТЬСЯ;V ipf praes sg indic - 3p;;;поэтому там толпа _увеличивается_ раза в три;я;с;т;е;а;в;V;УВЕЛИЧИВАТЬСЯ;V ipf praes sg indic - 3p;Я
28179;;раза;РАЗ;S m inan gen sg;;;там толпа увеличивается _раза_ в три и;а;з;а;р;;;S;РАЗ;S m inan gen sg;З
28180;;в;В;PR;;;толпа увеличивается раза _в_ три и все;в;;;;;;PR;В;PR;В
28181;;три;ТРИ;NUM nom - -;;;увеличивается раза в _три_ и все орут;и;р;т;;;;NUM;ТРИ;NUM nom - -;И
28182;;и;И;CONJ;;;раза в три _и_ все орут такие;и;;;;;;CONJ;И;CONJ;И
28183;;все;ВСЕ;S - - nom pl;;;в три и _все_ орут такие :;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
28184;;орут;ОРАТЬ;V ipf praes pl indic - 3p;;;три и все _орут_ такие : «;т;у;р;о;;;V;ОРАТЬ;V ipf praes pl indic - 3p;Ь
28185;;такие;ТАКОЙ;APRO - nom pl plen - anim;;;и все орут _такие_ : « ;е;и;к;а;т;;APRO;ТАКОЙ;A - acc pl plen - inan;Й
28186;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
28187;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
28188;"<distinct form=""";;;;;;;;;;;;;;;;
28189;<dist>;Руссия;;;;;;;;;;;;;;;
28190;""">";;;;;;;;;;;;;;;;
28191;;Россия;РОССИЯ;S f inan nom sg;;; Руссия  _Россия_  , ;я;и;с;с;о;р;S;РОССИЯ;S f inan nom sg;Я
28192;</distinct>;;;;;;;;;;;;;;;;
28193;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
28194;"<distinct form=""";;;;;;;;;;;;;;;;
28195;<dist>;Руссия;;;;;;;;;;;;;;;
28196;""">";;;;;;;;;;;;;;;;
28197;;Россия;РОССИЯ;S f inan nom sg;;; Руссия  _Россия_  ! »;я;и;с;с;о;р;S;РОССИЯ;S f inan nom sg;Я
28198;</distinct>;;;;;;;;;;;;;;;;
28199;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
28200;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
28201;;;;;;;;;;;;;;;;;
28202;# sent = 2061;;;;;;;;;;;;;;;;
28203;;Они;ОНИ;SPRO pl - - nom;;;»   _Они_ выходят . ;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom;И
28204;;выходят;ВЫХОДИТЬ;V ipf praes pl indic - 3p;;;  Они _выходят_ .  ;т;я;д;о;х;ы;V;ВЫХОДИТЬ;V ipf praes pl indic - 3p;Ь
28205;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28206;;;;;;;;;;;;;;;;;
28207;# sent = 2062;;;;;;;;;;;;;;;;
28208;;Становятся;СТАНОВИТЬСЯ;V ipf praes pl indic - 3p;;;.   _Становятся_ .  ;я;с;т;я;в;о;V;СТАНОВИТЬСЯ;V ipf praes pl indic - 3p;Я
28209;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
28210;;;;;;;;;;;;;;;;;
28211;# sent = 2063;;;;;;;;;;;;;;;;
28212;;Такие;ТАКОЙ;APRO - acc pl plen - anim;;;.   _Такие_ : « Гоп;е;и;к;а;т;;APRO;ТАКОЙ;A - acc pl plen - inan;Й
28213;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
28214;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
